Name,Platform,Critic_Score,User_Score
Torchlight II,PC,9.1,8.5
Warcraft II: Tides of Darkness,PC,9.3,
WWE SmackDown! vs. Raw 2006,PS2,8.4,
Kirby Super Star Ultra,DS,7.3,
Star Fox,SNES,,
The Sims: Livin Large,PC,,
World Soccer Winning Eleven 6 International,PS2,9,
Far Cry 3,X360,9,
Mario vs. Donkey Kong: Mini-Land Mayhem!,DS,7.8,
Style Savvy,DS,7.6,
Super Meat Boy,PC,9.2,
Yokai Watch,3DS,7.7,
The Legend of Zelda: Spirit Tracks,DS,8.7,
Battlefield: Bad Company 2,PS3,8.9,8.8
Hitman 2: Silent Assassin,PS2,8.4,
Yokai Watch 2: Psychic Specters,3DS,,
Street Fighter IV,X360,9.3,9.3
SOCOM II: U.S. Navy SEALs,PS2,8.8,
WWE SmackDown! vs. RAW 2006,PS2,,
Fire Emblem Fates,3DS,,
Wave Race 64,N64,9.2,
Pac-Man Collection,GBA,9,
Pokemon Ranger,DS,6.6,
Madden NFL 13,X360,8,
Doom (2016),PS4,,
Mass Effect,X360,9.2,9.1
FIFA 15,X360,6.9,
Counter-Strike: Condition Zero,PC,6.8,
Dragon Ball Z: Budokai 2,PS2,,
Final Fantasy III,SNES,9.1,
Mortal Kombat (2011),PS3,8.5,
World Soccer Winning Eleven 7 International,PS2,9.2,
Sega Superstars Tennis,X360,6.9,
Cooking Mama: Cook Off,Wii,5.9,
Hot Shots Golf 3,PS2,8,
Call of Duty: Finest Hour,PS2,,
Syphon Filter,PS,9.2,
Imagine: Babyz,DS,3.5,
Fire Emblem: Three Houses,NS,8.9,8.7
Mafia III,PS4,6.9,5.2
Subnautica,PC,8.7,8.4
Colin McRae Rally,PS,7.9,
Wii Music,Wii,5.6,
The Elder Scrolls III: Morrowind,XB,8.2,
Prison Architect,PC,,
Assassin's Creed: Brotherhood,PS3,9.1,
Command & Conquer: Red Alert,PC,9.3,
F-Zero,SNES,,
Yoshi's Story,N64,,
The Walking Dead: A Telltale Games Series,PC,8.9,8.7
Metroid Prime,GC,9.6,9.5
Zumba Fitness 2,Wii,,
Madden NFL 10,X360,8.6,
BioShock,X360,9.6,9.5
Mario Party: Island Tour,3DS,5.5,6
Yoshi's Island: Super Mario Advance 3,GBA,,
WWE SmackDown! vs. Raw,PS2,8.4,
Finding Nemo,GBA,7,
Medal of Honor,PS3,7,
Diablo III: Ultimate Evil Edition,PS4,9,7.9
The Legend of Zelda: A Link to the Past,GBA,9.6,
Gran Turismo (PSP),PSN,7.8,
Need for Speed: Hot Pursuit,PS3,8.9,
Imagine: Fashion Designer,DS,3,
Killzone 3,PS3,8.2,
Hitman: Absolution,PC,9,7.1
WWE SmackDown! Here Comes the Pain,PS2,9.1,
Dragon Quest V: Tenkuu no Hanayome,SNES,,
Infestation: Survivor Stories,PC,3,
Tekken 5,PS2,9,
Hot Shots Golf,PS,8,
Trine 2,PC,9,8.4
Skylanders: Spyro's Adventure,Wii,8,
